BJD RV e_RV BERV rv4 e_rv4 rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv17 e_rv17 rv18 e_rv18 rv19 e_rv19 filename
2460647.8319615815 -1259.866228832096 282.6823243313997 5.598935975066189 -2043.2256458270883 377.6022471229536 -2165.092375918233 192.58048213435745 1189.5864827055548 173.80792581687754 -953.1507354636979 130.61830348079286 -1529.4921229820286 101.27364846364983 -1543.3829176794845 132.3563181041548 -1534.2902006615411 180.62381329357532 -573.1625883019173 207.00480366835262 -1156.7574892942407 149.66040908406313 -1880.109212753504 109.42847601255232 -1669.451710976877 114.89726672514938 night3B_o8.fits
2460339.6525880336 -810.3388189994254 293.65324506070516 -9.050713326451199 -1862.4480876198402 538.6596530217793 -221.25159318718897 448.0059824127346 1268.0006277174339 302.2210173495011 -1156.906779117656 323.0019697949936 -1297.8375963624555 313.26936958795466 -956.4317256477116 358.55196806729015 -782.6780813933259 555.9274845913359 542.5805914561503 606.0195172593876 -1201.8853762199055 317.0172191037094 -1743.9283547329974 298.3111142013416 -1500.940633886181 296.194967395912 night4A_o8.fits
2460339.6525880336 -962.4996051984992 248.58860938958313 -9.050713326451199 -1238.339070737584 260.3986167109242 -2460.13919924715 445.3947762362777 772.8697815966307 234.01442935698745 -822.5556280138104 211.07004363345274 -1592.886081673909 234.03734838190908 -1055.6467236231033 312.3455728604218 -1090.8161513586704 488.76528924128365 -248.3148124978523 429.71409393409607 -469.73973547268747 342.35814894561634 -1480.52992988895 273.20005579279535 -901.3981062664064 309.4646216459927 night4B_o8.fits
2460328.5467368485 -1117.0991051114909 281.6638747493644 -6.1802047224309895 -1649.0417120020309 194.33898213899818 -2645.146874356875 255.60556682377677 1193.6049272825535 143.91906350599922 -1037.9843819978944 175.2436981703771 -1518.699294860626 143.81332644228974 -1469.8125906269083 180.08556914844868 -912.7797304911693 272.8366864274807 -514.5182839666454 301.3619938146623 -1133.0586611504782 182.0846435517826 -1352.0713194713283 138.5815903704398 -1248.5822345849977 141.62482857207058 night5A_o8.fits
2460328.5467368485 -1053.850895682249 232.61423544047614 -6.1802047224309895 -1474.5024327751657 241.39460425039496 -1998.2285166208035 228.6572640231343 747.529724985999 136.8366008123129 -950.1756365882669 142.32929605443076 -1624.6834905113276 124.64265401491134 -1477.4131365442722 157.8200285930625 -908.0950863225149 260.10714414485295 -149.31574695983363 240.32991881172055 -966.839933289269 138.2201933729308 -1540.3366903625954 130.77945108513646 -1250.2989075166897 141.90671752586627 night5B_o8.fits
2460230.8654919844 -1522.9467378681047 356.9914947259672 14.688739635697976 -4053.4647487860457 808.6559217964573 -1577.9872188511179 382.8850820587506 868.5476969160733 217.75318106116848 -671.3583304766902 263.73446652966334 -1848.493989134993 205.79630342863834 -1531.1870290764523 267.2892590487404 -2072.9124920951895 340.52859430387 -823.0203953695384 356.14577306388816 -1320.8846938298987 259.7661019929633 -1869.7731712569623 152.5596343871319 -1851.8797445883379 180.83240979307075 night6A_o8.fits
2460230.8654919844 -1311.153594625535 284.84058393567426 14.688739635697976 -2337.099335859534 456.6897632486593 -2170.1535218080953 225.9727870048632 1036.1613701233587 146.634768188559 -780.8306374539592 167.1195341998783 -1760.850231997893 119.20402582044308 -1393.6218584845706 141.44017820949944 -1293.4524452884111 198.9844927917433 -551.6872261814875 221.16895634707177 -1552.5717139585106 177.37852906714684 -1774.0434188974623 105.39949384473915 -1844.5405210743197 121.21637334762903 night6B_o8.fits
2460280.809733499 -1662.065427013796 284.96754469901174 6.089678958458921 -2947.344100788925 480.00107062220815 -2445.263797493841 185.53048539594485 597.4865311599684 108.7858569445815 -1428.8996478201666 125.60769571671285 -1864.8305753189247 104.78412431981978 -1797.0303388360596 130.2393112480278 -1863.4154819394503 195.19586294236353 -860.8438488738924 213.10670952364347 -1263.7213412691644 223.40888177017484 -2300.8968436174187 104.84760100756705 -2107.9602523538833 123.83874946527773 night7A_o8.fits
2460280.809733499 -1650.3788728111574 322.9133127960946 6.089678958458921 -2986.3744960565177 561.6880826160495 -2686.054721836971 176.0378210263854 1042.8382555576534 102.28920670891918 -1233.2280265161776 117.67855533814213 -2063.773258959358 90.75032865078198 -1960.3250969771811 111.28340206074262 -1523.0909124081286 203.2409069728698 -1046.3478790837983 209.62476322436888 -1415.3767039746006 206.7590646392533 -2141.759737217241 102.27051931514039 -2140.6750234504098 124.1583751687805 night7B_o8.fits
2460285.8032772676 -1716.237011108995 390.55864776759125 4.825408013404568 -3443.470029706436 544.682917244303 -2492.4380143273474 177.42454341633092 1290.7927435100014 111.93526651140921 -1431.7660798395978 134.31638096889682 -2188.144940329874 99.21187120569427 -1926.2192962764818 135.13338563004098 -2040.6027384156084 218.6492944411636 -1138.5815297553763 240.28569917989046 -1543.1422529879228 255.2491804404728 nan nan -2248.7979729613053 146.8230369601833 night8A_o8.fits
2460285.8032772676 -1553.8697945677288 295.9385403258663 4.825408013404568 -2324.64411269675 664.3555590933576 -2322.670263081384 185.3987606823496 1142.678721460585 99.92158508578238 -1164.1041367252062 112.22683469339414 -2227.6413306313393 90.58885211356382 -1741.6976437957792 119.58177636804133 -1703.327514031315 220.06823913628523 -1192.1808726163804 201.97689950843446 -1578.0281807316785 228.81450737557407 -1967.2170787503119 108.6237757228666 -2013.7353286454572 130.34504247239215 night8B_o8.fits
2460300.7878599875 -1171.8106415968061 290.93843590490366 0.8061811476041318 -1933.6549088546979 448.71282044172085 -2554.705629079673 240.53155902899707 1113.2952125139366 129.6268705800237 -390.2086702581712 162.70120677302296 -1620.1068957825507 136.62270203274522 -1524.9985232365013 162.267356391566 -1002.4293798567368 217.09653548856517 -862.4395547736882 305.3736727140856 -865.4292098131544 223.24656365159117 -1750.1187401074183 130.62832754681307 -1499.1207583162138 149.1247282646574 night9A_o8.fits
2460300.7878599875 -1271.9268233747737 305.4540638302268 0.8061811476041318 -2440.219004462011 712.1311365406519 -2288.5267486511084 226.34143728391595 1386.752003293874 163.76427651774128 -1039.0297739511195 170.6036910694073 -1537.461469986482 136.5981458912415 -1532.0508354146293 174.3741713770078 -1456.6743040045942 237.60641608775288 -791.1593292007424 324.9805412288444 -1012.5157697055629 231.82306543938142 -1648.0315677387455 128.96582011645933 -1632.2782573013887 173.42473903025206 night9B_o8.fits
