P_d,dbic,dbic_berv
9.1665,-2.611,0.295
9.1804,-3.183,-1.892
9.1942,-3.809,-3.437
9.2081,-4.367,-4.426
9.2220,-4.833,-5.037
9.2359,-5.215,-5.404
9.2498,-5.502,-5.564
9.2638,-5.637,-5.465
9.2778,-5.538,-5.048
9.2918,-5.155,-4.340
9.3058,-4.488,-3.464
9.3198,-3.580,-2.589
9.3339,-2.512,-1.890
9.3480,-1.442,-1.505
9.3621,-0.628,-1.473
9.3762,-0.359,-1.641
9.3904,-0.748,-1.678
9.4045,-1.614,-1.329
9.4187,-2.646,-0.694
9.4329,-3.614,-0.137
9.4472,-4.416,0.047
9.4614,-5.018,-0.223
9.4757,-5.399,-0.879
9.4900,-5.522,-1.805
9.5043,-5.337,-2.876
9.5187,-4.794,-3.964
9.5330,-3.859,-4.905
9.5474,-2.554,-5.488
9.5618,-1.016,-5.491
9.5762,0.447,-4.823
9.5907,1.395,-3.662
9.6052,1.511,-2.351
9.6197,0.853,-1.115
9.6342,-0.248,0.045
9.6487,-1.469,1.225
9.6633,-2.617,2.379
9.6778,-3.605,3.180
9.6924,-4.399,3.215
9.7071,-4.993,2.400
9.7217,-5.396,1.033
9.7364,-5.619,-0.517
9.7511,-5.658,-1.997
9.7658,-5.488,-3.259
9.7805,-5.067,-4.200
9.7953,-4.356,-4.725
9.8101,-3.355,-4.762
9.8249,-2.157,-4.321
9.8397,-0.962,-3.559
9.8545,0.008,-2.748
9.8694,0.669,-2.118
9.8843,1.133,-1.701
9.8992,1.572,-1.396
9.9142,2.011,-1.163
9.9291,2.260,-1.134
9.9441,2.057,-1.497
9.9591,1.286,-2.279
9.9741,0.062,-3.277
9.9892,-1.356,-4.189
10.0043,-2.713,-4.783
10.0193,-3.846,-4.973
10.0345,-4.695,-4.802
10.0496,-5.266,-4.382
10.0648,-5.585,-3.842
10.0800,-5.653,-3.297
10.0952,-5.429,-2.837
10.1104,-4.821,-2.513
10.1257,-3.741,-2.322
10.1409,-2.211,-2.199
10.1562,-0.460,-2.069
10.1716,1.129,-1.953
10.1869,2.222,-1.991
10.2023,2.664,-2.321
10.2177,2.475,-2.958
10.2331,1.791,-3.771
10.2485,0.807,-4.559
10.2640,-0.286,-5.158
10.2795,-1.351,-5.496
10.2950,-2.314,-5.592
10.3105,-3.145,-5.515
10.3261,-3.833,-5.342
10.3417,-4.367,-5.137
10.3573,-4.733,-4.939
10.3729,-4.920,-4.761
10.3885,-4.930,-4.597
10.4042,-4.781,-4.434
10.4199,-4.510,-4.260
10.4356,-4.160,-4.080
10.4514,-3.785,-3.912
10.4672,-3.447,-3.792
10.4830,-3.212,-3.753
10.4988,-3.137,-3.817
10.5146,-3.248,-3.975
10.5305,-3.524,-4.195
10.5464,-3.906,-4.437
10.5623,-4.321,-4.670
10.5782,-4.703,-4.883
10.5942,-4.997,-5.077
10.6102,-5.159,-5.259
10.6262,-5.156,-5.424
10.6422,-4.978,-5.547
10.6583,-4.663,-5.583
10.6744,-4.297,-5.495
10.6905,-3.982,-5.282
10.7066,-3.780,-4.981
10.7227,-3.703,-4.632
10.7389,-3.730,-4.265
10.7551,-3.831,-3.894
10.7714,-3.973,-3.530
10.7876,-4.114,-3.202
10.8039,-4.203,-2.971
10.8202,-4.207,-2.906
10.8365,-4.153,-3.019
10.8529,-4.114,-3.240
10.8692,-4.150,-3.496
10.8856,-4.283,-3.766
10.9021,-4.507,-4.069
10.9185,-4.790,-4.424
10.9350,-5.064,-4.822
10.9515,-5.239,-5.203
10.9680,-5.244,-5.471
10.9846,-5.080,-5.559
11.0011,-4.819,-5.469
11.0177,-4.541,-5.258
11.0344,-4.294,-4.988
11.0510,-4.081,-4.703
11.0677,-3.874,-4.430
11.0844,-3.620,-4.181
11.1011,-3.268,-3.963
11.1179,-2.798,-3.777
11.1346,-2.243,-3.623
11.1514,-1.680,-3.504
11.1683,-1.192,-3.431
11.1851,-0.850,-3.421
11.2020,-0.705,-3.495
11.2189,-0.784,-3.660
11.2358,-1.084,-3.906
11.2528,-1.560,-4.193
11.2698,-2.138,-4.468
11.2868,-2.737,-4.687
11.3038,-3.299,-4.833
11.3209,-3.792,-4.913
11.3379,-4.199,-4.950
11.3550,-4.506,-4.970
11.3722,-4.695,-4.996
11.3893,-4.751,-5.042
11.4065,-4.668,-5.115
11.4237,-4.456,-5.212
11.4410,-4.138,-5.323
11.4582,-3.750,-5.435
11.4755,-3.326,-5.529
11.4928,-2.894,-5.581
11.5102,-2.472,-5.568
11.5276,-2.066,-5.468
11.5449,-1.684,-5.266
11.5624,-1.340,-4.957
11.5798,-1.071,-4.555
11.5973,-0.929,-4.094
11.6148,-0.970,-3.631
11.6323,-1.224,-3.231
11.6499,-1.671,-2.947
11.6674,-2.250,-2.810
11.6850,-2.879,-2.815
11.7027,-3.484,-2.940
11.7203,-4.015,-3.151
11.7380,-4.445,-3.412
11.7557,-4.767,-3.695
11.7735,-4.984,-3.973
11.7912,-5.107,-4.229
11.8090,-5.151,-4.457
11.8268,-5.135,-4.660
11.8447,-5.075,-4.846
11.8626,-4.987,-5.025
11.8805,-4.885,-5.195
11.8984,-4.782,-5.337
11.9163,-4.693,-5.422
11.9343,-4.628,-5.425
11.9523,-4.590,-5.339
11.9704,-4.578,-5.176
11.9884,-4.584,-4.963
12.0065,-4.598,-4.734
12.0246,-4.610,-4.527
12.0428,-4.611,-4.375
12.0609,-4.593,-4.304
12.0791,-4.552,-4.319
12.0974,-4.487,-4.398
12.1156,-4.399,-4.500
12.1339,-4.294,-4.587
12.1522,-4.175,-4.640
12.1706,-4.045,-4.660
12.1889,-3.910,-4.662
12.2073,-3.779,-4.669
12.2257,-3.673,-4.704
12.2442,-3.617,-4.782
12.2627,-3.640,-4.908
12.2812,-3.757,-5.066
12.2997,-3.963,-5.227
12.3182,-4.230,-5.356
12.3368,-4.520,-5.435
12.3554,-4.802,-5.460
12.3741,-5.058,-5.440
12.3928,-5.275,-5.388
12.4115,-5.442,-5.316
12.4302,-5.546,-5.229
12.4489,-5.568,-5.125
12.4677,-5.487,-4.999
12.4865,-5.280,-4.841
12.5054,-4.927,-4.642
12.5243,-4.407,-4.394
12.5432,-3.708,-4.091
12.5621,-2.829,-3.737
12.5810,-1.801,-3.346
12.6000,-0.712,-2.955
12.6190,0.291,-2.626
12.6381,1.020,-2.438
12.6571,1.322,-2.448
12.6762,1.157,-2.658
12.6954,0.608,-3.011
12.7145,-0.172,-3.429
12.7337,-1.035,-3.848
12.7529,-1.874,-4.230
12.7722,-2.633,-4.558
12.7914,-3.289,-4.830
12.8107,-3.849,-5.049
12.8301,-4.325,-5.220
12.8494,-4.735,-5.348
12.8688,-5.083,-5.438
12.8882,-5.364,-5.495
12.9077,-5.560,-5.520
12.9272,-5.646,-5.515
12.9467,-5.593,-5.478
12.9662,-5.375,-5.408
12.9858,-4.974,-5.299
13.0054,-4.381,-5.147
13.0250,-3.605,-4.946
13.0446,-2.681,-4.694
13.0643,-1.671,-4.397
13.0840,-0.677,-4.070
13.1038,0.177,-3.745
13.1235,0.766,-3.464
13.1433,1.002,-3.266
13.1632,0.866,-3.172
13.1830,0.412,-3.178
13.2029,-0.262,-3.262
13.2229,-1.048,-3.397
13.2428,-1.855,-3.560
13.2628,-2.620,-3.733
13.2828,-3.307,-3.905
13.3028,-3.897,-4.070
13.3229,-4.388,-4.222
13.3430,-4.784,-4.355
13.3632,-5.093,-4.465
13.3833,-5.324,-4.550
13.4035,-5.486,-4.608
13.4237,-5.584,-4.646
13.4440,-5.623,-4.673
13.4643,-5.603,-4.698
13.4846,-5.523,-4.729
13.5049,-5.382,-4.771
13.5253,-5.174,-4.828
13.5457,-4.895,-4.897
13.5662,-4.547,-4.973
13.5866,-4.150,-5.045
13.6071,-3.755,-5.093
13.6277,-3.445,-5.102
13.6482,-3.303,-5.067
13.6688,-3.355,-5.008
13.6894,-3.553,-4.950
13.7101,-3.813,-4.912
13.7308,-4.067,-4.899
13.7515,-4.279,-4.908
13.7723,-4.438,-4.932
13.7930,-4.546,-4.966
13.8139,-4.614,-5.002
13.8347,-4.657,-5.031
13.8556,-4.695,-5.046
13.8765,-4.746,-5.041
13.8974,-4.824,-5.021
13.9184,-4.928,-4.994
13.9394,-5.044,-4.974
13.9604,-5.156,-4.967
13.9815,-5.254,-4.978
14.0026,-5.333,-5.004
14.0237,-5.392,-5.043
14.0449,-5.433,-5.094
14.0661,-5.459,-5.153
14.0873,-5.472,-5.218
14.1085,-5.475,-5.283
14.1298,-5.472,-5.342
14.1512,-5.465,-5.388
14.1725,-5.457,-5.413
14.1939,-5.449,-5.410
14.2153,-5.441,-5.374
14.2368,-5.432,-5.302
14.2582,-5.423,-5.194
14.2798,-5.414,-5.056
14.3013,-5.407,-4.899
14.3229,-5.403,-4.741
14.3445,-5.401,-4.603
14.3661,-5.403,-4.507
14.3878,-5.404,-4.466
14.4095,-5.401,-4.483
14.4313,-5.390,-4.554
14.4530,-5.363,-4.667
14.4748,-5.318,-4.806
14.4967,-5.249,-4.957
14.5186,-5.159,-5.102
14.5405,-5.050,-5.231
14.5624,-4.932,-5.336
14.5844,-4.815,-5.413
14.6064,-4.704,-5.464
14.6284,-4.602,-5.488
14.6505,-4.506,-5.479
14.6726,-4.410,-5.420
14.6947,-4.308,-5.288
14.7169,-4.197,-5.053
14.7391,-4.078,-4.684
14.7614,-3.960,-4.160
14.7836,-3.858,-3.484
14.8059,-3.788,-2.691
14.8283,-3.766,-1.848
14.8507,-3.797,-1.044
14.8731,-3.877,-0.365
14.8955,-3.996,0.127
14.9180,-4.141,0.398
14.9405,-4.302,0.449
14.9630,-4.469,0.300
14.9856,-4.636,-0.016
15.0082,-4.797,-0.456
15.0309,-4.950,-0.980
15.0536,-5.091,-1.547
15.0763,-5.219,-2.124
15.0990,-5.331,-2.686
15.1218,-5.427,-3.218
15.1446,-5.507,-3.710
15.1675,-5.567,-4.159
15.1904,-5.606,-4.559
15.2133,-5.621,-4.903
15.2362,-5.609,-5.181
15.2592,-5.567,-5.382
15.2823,-5.493,-5.494
15.3053,-5.390,-5.509
15.3284,-5.260,-5.426
15.3515,-5.109,-5.252
15.3747,-4.940,-4.999
15.3979,-4.760,-4.687
15.4211,-4.572,-4.342
15.4444,-4.381,-3.991
15.4677,-4.190,-3.663
15.4910,-4.002,-3.384
15.5144,-3.822,-3.175
15.5378,-3.654,-3.045
15.5613,-3.500,-2.997
15.5848,-3.365,-3.027
15.6083,-3.253,-3.126
15.6318,-3.169,-3.285
15.6554,-3.122,-3.495
15.6790,-3.122,-3.748
15.7027,-3.182,-4.031
15.7264,-3.313,-4.331
15.7501,-3.517,-4.624
15.7739,-3.786,-4.886
15.7977,-4.097,-5.095
15.8215,-4.417,-5.237
15.8454,-4.712,-5.309
15.8693,-4.954,-5.322
15.8932,-5.120,-5.289
15.9172,-5.192,-5.227
15.9412,-5.158,-5.147
15.9653,-5.008,-5.058
