P_d,dbic,dbic_berv
19.1317,-0.312,1.182
19.1606,-0.831,0.854
19.1895,-1.508,0.315
19.2185,-2.091,-0.229
19.2475,-2.460,-0.697
19.2765,-2.671,-1.140
19.3056,-2.840,-1.636
19.3347,-3.054,-2.219
19.3639,-3.342,-2.859
19.3931,-3.666,-3.463
19.4224,-3.937,-3.906
19.4517,-4.052,-4.074
19.4811,-3.956,-3.917
19.5104,-3.662,-3.467
19.5399,-3.237,-2.818
19.5694,-2.765,-2.087
19.5989,-2.315,-1.375
19.6285,-1.930,-0.751
19.6581,-1.621,-0.248
19.6878,-1.375,0.128
19.7175,-1.173,0.373
19.7472,-1.010,0.472
19.7770,-0.906,0.396
19.8068,-0.905,0.118
19.8367,-1.051,-0.367
19.8667,-1.371,-1.028
19.8966,-1.851,-1.798
19.9267,-2.437,-2.597
19.9567,-3.056,-3.346
19.9868,-3.644,-3.991
20.0170,-4.160,-4.503
20.0472,-4.588,-4.874
20.0775,-4.925,-5.107
20.1078,-5.175,-5.206
20.1381,-5.344,-5.179
20.1685,-5.435,-5.033
20.1989,-5.454,-4.785
20.2294,-5.412,-4.469
20.2599,-5.322,-4.136
20.2905,-5.203,-3.854
20.3211,-5.080,-3.682
20.3518,-4.976,-3.643
20.3825,-4.904,-3.716
20.4132,-4.867,-3.849
20.4440,-4.856,-3.994
20.4749,-4.858,-4.120
20.5058,-4.865,-4.221
20.5367,-4.878,-4.305
20.5677,-4.902,-4.392
20.5987,-4.947,-4.502
20.6298,-5.016,-4.642
20.6609,-5.102,-4.795
20.6921,-5.189,-4.935
20.7233,-5.256,-5.036
20.7546,-5.291,-5.085
20.7859,-5.286,-5.080
20.8173,-5.238,-5.028
